Rank,Ticker,Name,Weight
0,NVDA ,NVIDIA Corp,9.522
1,AAPL ,Apple Inc,8.406
2,MSFT ,Microsoft Corp,8.311
3,AVGO ,Broadcom Inc,5.766
4,AMZN ,Amazon.com Inc,5.131
5,META ,Meta Platforms Inc,3.582
6,TSLA ,Tesla Inc,3.403
7,GOOGL ,Alphabet Inc,3.153
8,GOOG ,Alphabet Inc,2.953
9,NFLX ,Netflix Inc,2.785
10,COST ,Costco Wholesale Corp,2.27
11,PLTR ,Palantir Technologies Inc,2.21
12,CSCO ,Cisco Systems Inc,1.458
13,TMUS ,T-Mobile US Inc,1.453
14,AMD ,Advanced Micro Devices Inc,1.42
15,LIN ,Linde PLC,1.205
16,APP ,AppLovin Corp,1.068
17,INTU ,Intuit Inc,1.048
18,PEP ,PepsiCo Inc,1.039
19,QCOM ,QUALCOMM Inc,0.993
20,BKNG ,Booking Holdings Inc,0.98
21,MU ,Micron Technology Inc,0.952
22,SHOP ,Shopify Inc,0.95
23,TXN ,Texas Instruments Inc,0.898
24,LRCX ,Lam Research Corp,0.88
25,AMAT ,Applied Materials Inc,0.863
26,ISRG ,Intuitive Surgical Inc,0.852
27,ADBE ,Adobe Inc,0.815
28,INTC ,Intel Corp,0.807
29,AMGN ,Amgen Inc,0.792
30,KLAC ,KLA Corp,0.758
31,GILD ,Gilead Sciences Inc,0.747
32,PANW ,Palo Alto Networks Inc,0.734
33,HON ,Honeywell International Inc,0.715
34,MELI ,MercadoLibre Inc,0.686
35,ADI ,Analog Devices Inc,0.661
36,CRWD ,Crowdstrike Holdings Inc,0.644
37,ADP ,Automatic Data Processing Inc,0.635
38,CMCSA ,Comcast Corp,0.632
39,DASH ,DoorDash Inc,0.572
40,CEG ,Constellation Energy Corp,0.553
41,VRTX ,Vertex Pharmaceuticals Inc,0.531
42,CDNS ,Cadence Design Systems Inc,0.519
43,SBUX ,Starbucks Corp,0.517
44,SNPS ,Synopsys Inc,0.489
45,ORLY ,O'Reilly Automotive Inc,0.481
46,PDD ,PDD Holdings Inc ADR,0.475
47,CTAS ,Cintas Corp,0.442
48,MDLZ ,Mondelez International Inc,0.439
49,ASML ,ASML Holding NV,0.436
50,MSTR ,Strategy Inc,0.431
51,MRVL ,Marvell Technology Inc,0.392
52,TRI ,Thomson Reuters Corp,0.386
53,MAR ,Marriott International Inc/MD,0.384
54,ADSK ,Autodesk Inc,0.372
55,PYPL ,PayPal Holdings Inc,0.346
56,FTNT ,Fortinet Inc,0.346
57,MNST ,Monster Beverage Corp,0.342
58,CSX ,CSX Corp,0.342
59,REGN ,Regeneron Pharmaceuticals Inc,0.314
60,AEP ,American Electric Power Co Inc,0.313
61,NXPI ,NXP Semiconductors NV,0.31
62,AXON ,Axon Enterprise Inc,0.303
63,FAST ,Fastenal Co,0.298
64,ROP ,Roper Technologies Inc,0.289
65,WDAY ,Workday Inc,0.286
66,ABNB ,Airbnb Inc,0.283
67,PCAR ,PACCAR Inc,0.272
68,IDXX ,IDEXX Laboratories Inc,0.268
69,BKR ,Baker Hughes Co,0.268
70,WBD ,Warner Bros Discovery Inc,0.266
71,ROST ,Ross Stores Inc,0.265
72,XEL ,Xcel Energy Inc,0.248
73,PAYX ,Paychex Inc,0.247
74,TTWO ,Take-Two Interactive Software Inc,0.245
75,ZS ,Zscaler Inc,0.242
76,EXC ,Exelon Corp,0.24
77,DDOG ,Datadog Inc,0.24
78,CPRT ,Copart Inc,0.235
79,AZN ,AstraZeneca PLC ADR,0.234
80,FANG ,Diamondback Energy Inc,0.229
81,EA ,Electronic Arts Inc,0.228
82,CCEP ,Coca-Cola Europacific Partners PLC,0.222
83,CHTR ,Charter Communications Inc,0.201
84,CSGP ,CoStar Group Inc,0.191
85,MCHP ,Microchip Technology Inc,0.19
86,KDP ,Keurig Dr Pepper Inc,0.188
87,VRSK ,Verisk Analytics Inc,0.185
88,GEHC ,GE HealthCare Technologies Inc,0.177
89,CTSH ,Cognizant Technology Solutions Corp,0.177
90,KHC ,Kraft Heinz Co/The,0.166
91,ODFL ,Old Dominion Freight Line Inc,0.16
92,TEAM ,Atlassian Corp,0.147
93,DXCM ,Dexcom Inc,0.145
94,TTD ,Trade Desk Inc/The,0.113
95,CDW ,CDW Corp/DE,0.112
96,ON ,ON Semiconductor Corp,0.11
97,BIIB ,Biogen Inc,0.108
98,LULU ,Lululemon Athletica Inc,0.107
99,ARM ,ARM Holdings PLC ADR,0.104
100,GFS ,GLOBALFOUNDRIES Inc,0.099
