Rank,Ticker,Name,Weight
0,COOP,MR COOPER GROUP INC,0.857361
1,KTOS,KRATOS DEFENSE + SECURITY,0.808867
2,MP,MP MATERIALS CORP,0.719228
3,SPXC,SPX TECHNOLOGIES INC,0.696171
4,STRL,STERLING INFRASTRUCTURE INC,0.654727
5,BWA,BORGWARNER INC,0.628484
6,AWI,ARMSTRONG WORLD INDUSTRIES,0.611436
7,QRVO,QORVO INC,0.6043
8,DY,DYCOM INDUSTRIES INC,0.587494
9,FSS,FEDERAL SIGNAL CORP,0.573186
10,IDCC,INTERDIGITAL INC,0.513056
11,CORT,CORCEPT THERAPEUTICS INC,0.504678
12,EAT,BRINKER INTERNATIONAL INC,0.502109
13,JXN,JACKSON FINANCIAL INC A,0.486544
14,LNC,LINCOLN NATIONAL CORP,0.48554
15,LRN,STRIDE INC,0.479974
16,ETSY,ETSY INC,0.479362
17,SANM,SANMINA CORP,0.473794
18,CTRE,CARETRUST REIT INC,0.468474
19,JBTM,JBT MAREL CORP,0.466687
20,ZWS,ZURN ELKAY WATER SOLUTIONS C,0.466204
21,EPRT,ESSENTIAL PROPERTIES REALTY,0.439099
22,SNDK,SANDISK CORP,0.435727
23,IBP,INSTALLED BUILDING PRODUCTS,0.427016
24,AL,AIR LEASE CORP,0.426201
25,AEIS,ADVANCED ENERGY INDUSTRIES,0.424731
26,ITRI,ITRON INC,0.42002
27,BMI,BADGER METER INC,0.413342
28,MARA,MARA HOLDINGS INC,0.409711
29,RHP,RYMAN HOSPITALITY PROPERTIES,0.409252
30,TRNO,TERRENO REALTY CORP,0.407599
31,GPI,GROUP 1 AUTOMOTIVE INC,0.405194
32,GTES,GATES INDUSTRIAL CORP PLC,0.40388
33,PIPR,PIPER SANDLER COS,0.397257
34,MOG.A,MOOG INC CLASS A,0.394727
35,ESI,ELEMENT SOLUTIONS INC,0.394671
36,MC,MOELIS + CO   CLASS A,0.391894
37,CE,CELANESE CORP,0.386209
38,BCPC,BALCHEM CORP,0.385474
39,MTH,MERITAGE HOMES CORP,0.382542
40,TFX,TELEFLEX INC,0.381868
41,RAL,RALLIANT CORP,0.376942
42,BOOT,BOOT BARN HOLDINGS INC,0.375566
43,ESE,ESCO TECHNOLOGIES INC,0.372921
44,GKOS,GLAUKOS CORP,0.369749
45,MMSI,MERIT MEDICAL SYSTEMS INC,0.369388
46,SXT,SENSIENT TECHNOLOGIES CORP,0.36637
47,ACA,ARCOSA INC,0.34695
48,GVA,GRANITE CONSTRUCTION INC,0.34675
49,ACIW,ACI WORLDWIDE INC,0.346388
50,CALM,CAL MAINE FOODS INC,0.345292
51,RDN,RADIAN GROUP INC,0.342401
52,NPO,ENPRO INC,0.34081
53,AUB,ATLANTIC UNION BANKSHARES CO,0.337795
54,TTMI,TTM TECHNOLOGIES,0.337146
55,AX,AXOS FINANCIAL INC,0.335913
56,BOX,BOX INC   CLASS A,0.334921
57,CSW,CSW INDUSTRIALS INC,0.331495
58,SKYW,SKYWEST INC,0.329906
59,FMC,FMC CORP,0.32666
60,ABG,ASBURY AUTOMOTIVE GROUP,0.326644
61,URBN,URBAN OUTFITTERS INC,0.325896
62,ALKS,ALKERMES PLC,0.325463
63,WSC,WILLSCOT HOLDINGS CORP,0.324792
64,PJT,PJT PARTNERS INC   A,0.322488
65,ABCB,AMERIS BANCORP,0.322178
66,MGY,MAGNOLIA OIL + GAS CORP   A,0.32153
67,ATGE,ADTALEM GLOBAL EDUCATION INC,0.321512
68,TMDX,TRANSMEDICS GROUP INC,0.320156
69,SEE,SEALED AIR CORP,0.318576
70,SHAK,SHAKE SHACK INC   CLASS A,0.317354
71,SITM,SITIME CORP,0.315379
72,SMTC,SEMTECH CORP,0.313255
73,MAC,MACERICH CO/THE,0.312802
74,GMS,GMS INC,0.312374
75,RDNT,RADNET INC,0.311803
76,PECO,PHILLIPS EDISON + COMPANY IN,0.311325
77,AROC,ARCHROCK INC,0.309237
78,FTDR,FRONTDOOR INC,0.306879
79,REZI,RESIDEO TECHNOLOGIES INC,0.303591
80,MWA,MUELLER WATER PRODUCTS INC A,0.298816
81,SPSC,SPS COMMERCE INC,0.295543
82,SFBS,SERVISFIRST BANCSHARES INC,0.29193
83,ADMA,ADMA BIOLOGICS INC,0.290886
84,SNEX,STONEX GROUP INC,0.289243
85,DORM,DORMAN PRODUCTS INC,0.288983
86,BGC,BGC GROUP INC A,0.288972
87,KAI,KADANT INC,0.288155
88,STEP,STEPSTONE GROUP INC CLASS A,0.287458
89,LUMN,LUMEN TECHNOLOGIES INC,0.285317
90,AMTM,AMENTUM HOLDINGS INC,0.284742
91,TDS,TELEPHONE AND DATA SYSTEMS,0.284241
92,AGO,ASSURED GUARANTY LTD,0.281396
93,VRRM,VERRA MOBILITY CORP,0.280658
94,CNR,CORE NATURAL RESOURCES INC,0.279638
95,MRP,MILLROSE PROPERTIES,0.278716
96,SLG,SL GREEN REALTY CORP,0.275444
97,ITGR,INTEGER HOLDINGS CORP,0.273295
98,KFY,KORN FERRY,0.2718
99,FELE,FRANKLIN ELECTRIC CO INC,0.27114
100,ECG,EVERUS CONSTRUCTION GROUP,0.268686
101,CVCO,CAVCO INDUSTRIES INC,0.268685
102,PI,IMPINJ INC,0.268387
103,UCB,UNITED COMMUNITY BANKS/GA,0.267316
104,TGTX,TG THERAPEUTICS INC,0.266002
105,SKT,TANGER INC,0.265801
106,AAP,ADVANCE AUTO PARTS INC,0.264395
107,OSIS,OSI SYSTEMS INC,0.260726
108,KRYS,KRYSTAL BIOTECH INC,0.26003
109,SKY,CHAMPION HOMES INC,0.258976
110,PLXS,PLEXUS CORP,0.258608
111,MHO,M/I HOMES INC,0.257788
112,PATK,PATRICK INDUSTRIES INC,0.256924
113,GNW,GENWORTH FINANCIAL INC,0.256812
114,MSGS,MADISON SQUARE GARDEN SPORTS,0.252926
115,VIRT,VIRTU FINANCIAL INC CLASS A,0.252809
116,NSIT,INSIGHT ENTERPRISES INC,0.252692
117,RHI,ROBERT HALF INC,0.252086
118,MATX,MATSON INC,0.251352
119,MDU,MDU RESOURCES GROUP INC,0.251238
120,KTB,KONTOOR BRANDS INC,0.250795
121,HWKN,HAWKINS INC,0.250384
122,RUSHA,RUSH ENTERPRISES INC CL A,0.248871
123,OTTR,OTTER TAIL CORP,0.248339
124,VCTR,VICTORY CAPITAL HOLDING   A,0.248335
125,AZZ,AZZ INC,0.247966
126,PTGX,PROTAGONIST THERAPEUTICS INC,0.247518
127,ASO,ACADEMY SPORTS + OUTDOORS IN,0.247066
128,FBP,FIRST BANCORP PUERTO RICO,0.246409
129,RNST,RENASANT CORP,0.245554
130,APAM,ARTISAN PARTNERS ASSET MA  A,0.245169
131,CRC,CALIFORNIA RESOURCES CORP,0.244517
132,SIG,SIGNET JEWELERS LTD,0.243306
133,CALX,CALIX INC,0.242886
134,PLMR,PALOMAR HOLDINGS INC,0.241051
135,FULT,FULTON FINANCIAL CORP,0.24078
136,TGNA,TEGNA INC,0.238515
137,CATY,CATHAY GENERAL BANCORP,0.23688
138,HCC,WARRIOR MET COAL INC,0.235633
139,PBH,PRESTIGE CONSUMER HEALTHCARE,0.235065
140,BXMT,BLACKSTONE MORTGAGE TRU CL A,0.233804
141,CWK,CUSHMAN + WAKEFIELD PLC,0.233154
142,HASI,HA SUSTAINABLE INFRASTRUCTUR,0.231551
143,INDB,INDEPENDENT BANK CORP/MA,0.231071
144,ACAD,ACADIA PHARMACEUTICALS INC,0.229366
145,NMIH,NMI HOLDINGS INC,0.228678
146,FUL,H.B. FULLER CO.,0.22791
147,BRC,BRADY CORPORATION   CL A,0.227617
148,HIW,HIGHWOODS PROPERTIES INC,0.226794
149,FRPT,FRESHPET INC,0.226065
150,BCC,BOISE CASCADE CO,0.225732
151,WSFS,WSFS FINANCIAL CORP,0.224966
152,KAR,OPENLANE INC,0.224895
153,MGEE,MGE ENERGY INC,0.224687
154,AVA,AVISTA CORP,0.223668
155,FHB,FIRST HAWAIIAN INC,0.223049
156,TBBK,BANCORP INC/THE,0.222549
157,CBU,COMMUNITY FINANCIAL SYSTEM I,0.221602
158,TPH,TRI POINTE HOMES INC,0.221042
159,ABM,ABM INDUSTRIES INC,0.220156
160,WDFC,WD 40 CO,0.220088
161,YOU,CLEAR SECURE INC  CLASS A,0.220017
162,SM,SM ENERGY CO,0.21924
163,AWR,AMERICAN STATES WATER CO,0.218014
164,CPK,CHESAPEAKE UTILITIES CORP,0.214124
165,MYRG,MYR GROUP INC/DELAWARE,0.212485
166,LGND,LIGAND PHARMACEUTICALS,0.210671
167,GEO,GEO GROUP INC/THE,0.208498
168,CAKE,CHEESECAKE FACTORY INC/THE,0.207534
169,CWT,CALIFORNIA WATER SERVICE GRP,0.206754
170,CLSK,CLEANSPARK INC,0.204032
171,PSMT,PRICESMART INC,0.20337
172,GFF,GRIFFON CORP,0.202899
173,MRCY,MERCURY SYSTEMS INC,0.202158
174,BFH,BREAD FINANCIAL HOLDINGS INC,0.201771
175,SFNC,SIMMONS FIRST NATL CORP CL A,0.200933
176,BKU,BANKUNITED INC,0.198292
177,ALRM,ALARM.COM HOLDINGS INC,0.198217
178,EXTR,EXTREME NETWORKS INC,0.198215
179,AIR,AAR CORP,0.197891
180,ICUI,ICU MEDICAL INC,0.197692
181,SMPL,SIMPLY GOOD FOODS CO/THE,0.197621
182,RUN,SUNRUN INC,0.197201
183,NATL,NCR ATLEOS CORP,0.19682
184,ENVA,ENOVA INTERNATIONAL INC,0.196463
185,UNF,UNIFIRST CORP/MA,0.195283
186,WHD,CACTUS INC   A,0.194158
187,APLE,APPLE HOSPITALITY REIT INC,0.193531
188,CNK,CINEMARK HOLDINGS INC,0.189754
189,FCPT,FOUR CORNERS PROPERTY TRUST,0.188112
190,ACLS,AXCELIS TECHNOLOGIES INC,0.187174
191,BOH,BANK OF HAWAII CORP,0.18701
192,WD,WALKER + DUNLOP INC,0.186765
193,CARG,CARGURUS INC,0.186381
194,BL,BLACKLINE INC,0.185364
195,TDW,TIDEWATER INC,0.185332
196,POWL,POWELL INDUSTRIES INC,0.185211
197,PENN,PENN ENTERTAINMENT INC,0.181552
198,UE,URBAN EDGE PROPERTIES,0.181395
199,CVBF,CVB FINANCIAL CORP,0.181101
200,MPW,MEDICAL PROPERTIES TRUST INC,0.180773
201,CWEN,CLEARWAY ENERGY INC C,0.1807
202,VIAV,VIAVI SOLUTIONS INC,0.179456
203,AKR,ACADIA REALTY TRUST,0.178873
204,LCII,LCI INDUSTRIES,0.178831
205,BANF,BANCFIRST CORP,0.178782
206,LXP,LXP INDUSTRIAL TRUST,0.177305
207,CRVL,CORVEL CORP,0.177155
208,WAFD,WAFD INC,0.176677
209,AGYS,AGILYSYS INC,0.17601
210,PFS,PROVIDENT FINANCIAL SERVICES,0.175842
211,DEI,DOUGLAS EMMETT INC,0.17513
212,DIOD,DIODES INC,0.175113
213,PRK,PARK NATIONAL CORP,0.174969
214,NOG,NORTHERN OIL AND GAS INC,0.174796
215,INSP,INSPIRE MEDICAL SYSTEMS INC,0.174496
216,OUT,OUTFRONT MEDIA INC,0.173741
217,OGN,ORGANON + CO,0.173311
218,DXC,DXC TECHNOLOGY CO,0.173099
219,SBCF,SEACOAST BANKING CORP/FL,0.172941
220,CON,CONCENTRA GROUP HOLDINGS PAR,0.172933
221,DAN,DANA INC,0.170963
222,ALG,ALAMO GROUP INC,0.170957
223,FUN,SIX FLAGS ENTERTAINMENT CORP,0.170079
224,SXI,STANDEX INTERNATIONAL CORP,0.169971
225,ABR,ARBOR REALTY TRUST INC,0.169925
226,SUPN,SUPERNUS PHARMACEUTICALS INC,0.169619
227,TRN,TRINITY INDUSTRIES INC,0.169028
228,EVTC,EVERTEC INC,0.168219
229,FFBC,FIRST FINANCIAL BANCORP,0.167834
230,CPRX,CATALYST PHARMACEUTICALS INC,0.167604
231,TRMK,TRUSTMARK CORP,0.166646
232,IAC,IAC INC,0.164886
233,CXW,CORECIVIC INC,0.16456
234,MTRN,MATERION CORP,0.163567
235,CHEF,CHEFS  WAREHOUSE INC/THE,0.16331
236,VCYT,VERACYTE INC,0.162723
237,FORM,FORMFACTOR INC,0.162314
238,EPAC,ENERPAC TOOL GROUP CORP,0.161907
239,HAYW,HAYWARD HOLDINGS INC,0.161758
240,WWW,WOLVERINE WORLD WIDE INC,0.161622
241,ARWR,ARROWHEAD PHARMACEUTICALS IN,0.161325
242,VSAT,VIASAT INC,0.161287
243,GSHD,GOOSEHEAD INSURANCE INC  A,0.161116
244,BANR,BANNER CORPORATION,0.159815
245,NBTB,N B T BANCORP INC,0.159185
246,BTU,PEABODY ENERGY CORP,0.158939
247,OII,OCEANEERING INTL INC,0.158893
248,PRVA,PRIVIA HEALTH GROUP INC,0.158795
249,PPBI,PACIFIC PREMIER BANCORP INC,0.156788
250,TRIP,TRIPADVISOR INC,0.155882
251,PHIN,PHINIA INC,0.155756
252,HUBG,HUB GROUP INC CL A,0.155127
253,CURB,CURBLINE PROPERTIES CORP,0.15397
254,IPAR,INTERPARFUMS INC,0.153431
255,FL,FOOT LOCKER INC,0.153181
256,ADUS,ADDUS HOMECARE CORP,0.152001
257,RXO,RXO INC,0.15196
258,FBNC,FIRST BANCORP/NC,0.150998
259,IOSP,INNOSPEC INC,0.150603
260,NWL,NEWELL BRANDS INC,0.149479
261,HNI,HNI CORP,0.149286
262,DV,DOUBLEVERIFY HOLDINGS INC,0.14839
263,OI,O I GLASS INC,0.14834
264,CNS,COHEN + STEERS INC,0.147957
265,AEO,AMERICAN EAGLE OUTFITTERS,0.147176
266,GOLF,ACUSHNET HOLDINGS CORP,0.146988
267,GRBK,GREEN BRICK PARTNERS INC,0.146277
268,YELP,YELP INC,0.144489
269,WOR,WORTHINGTON ENTERPRISES INC,0.144483
270,TDC,TERADATA CORP,0.143476
271,PINC,PREMIER INC CLASS A,0.142659
272,JOE,ST JOE CO/THE,0.141899
273,PRDO,PERDOCEO EDUCATION CORP,0.141854
