Rank,Ticker,Name,Weight
0,NVDA,NVIDIA CORP,7.715673
1,MSFT,MICROSOFT CORP,6.649623
2,AAPL,APPLE INC,6.135155
3,AMZN,AMAZON.COM INC,3.879737
4,AVGO,BROADCOM INC,3.019427
5,META,META PLATFORMS INC CLASS A,2.911161
6,GOOGL,ALPHABET INC CL A,2.49798
7,GOOG,ALPHABET INC CL C,2.018412
8,TSLA,TESLA INC,1.845366
9,BRK.B,BERKSHIRE HATHAWAY INC CL B,1.627005
10,JPM,JPMORGAN CHASE + CO,1.516236
11,LLY,ELI LILLY + CO,1.062556
12,V,VISA INC CLASS A SHARES,1.049698
13,NFLX,NETFLIX INC,0.914774
14,ORCL,ORACLE CORP,0.894246
15,XOM,EXXON MOBIL CORP,0.863216
16,MA,MASTERCARD INC   A,0.852878
17,WMT,WALMART INC,0.792061
18,JNJ,JOHNSON + JOHNSON,0.767025
19,COST,COSTCO WHOLESALE CORP,0.7641
20,HD,HOME DEPOT INC,0.751583
21,ABBV,ABBVIE INC,0.694679
22,PG,PROCTER + GAMBLE CO/THE,0.664196
23,PLTR,PALANTIR TECHNOLOGIES INC A,0.624347
24,BAC,BANK OF AMERICA CORP,0.593866
25,UNH,UNITEDHEALTH GROUP INC,0.572787
26,CVX,CHEVRON CORP,0.541222
27,GE,GENERAL ELECTRIC,0.536169
28,CSCO,CISCO SYSTEMS INC,0.480871
29,WFC,WELLS FARGO + CO,0.472136
30,KO,COCA COLA CO/THE,0.467733
31,PM,PHILIP MORRIS INTERNATIONAL,0.466682
32,AMD,ADVANCED MICRO DEVICES,0.450705
33,GS,GOLDMAN SACHS GROUP INC,0.429937
34,IBM,INTL BUSINESS MACHINES CORP,0.426535
35,CRM,SALESFORCE INC,0.421939
36,ABT,ABBOTT LABORATORIES,0.412077
37,LIN,LINDE PLC,0.406457
38,MCD,MCDONALD S CORP,0.39377
39,MRK,MERCK + CO. INC.,0.381752
40,T,AT+T INC,0.378865
41,RTX,RTX CORP,0.376039
42,DIS,WALT DISNEY CO/THE,0.375816
43,CAT,CATERPILLAR INC,0.362241
44,UBER,UBER TECHNOLOGIES INC,0.353493
45,PEP,PEPSICO INC,0.353071
46,NOW,SERVICENOW INC,0.346752
47,MS,MORGAN STANLEY,0.345399
48,VZ,VERIZON COMMUNICATIONS INC,0.332521
49,TMO,THERMO FISHER SCIENTIFIC INC,0.331435
50,C,CITIGROUP INC,0.32979
51,INTU,INTUIT INC,0.329714
52,AXP,AMERICAN EXPRESS CO,0.325281
53,BKNG,BOOKING HOLDINGS INC,0.319336
54,QCOM,QUALCOMM INC,0.316634
55,GEV,GE VERNOVA INC,0.309257
56,SPGI,S+P GLOBAL INC,0.308982
57,MU,MICRON TECHNOLOGY INC,0.300614
58,TXN,TEXAS INSTRUMENTS INC,0.299012
59,BA,BOEING CO/THE,0.296389
60,BLK,BLACKROCK INC,0.295092
61,ISRG,INTUITIVE SURGICAL INC,0.291692
62,SCHW,SCHWAB (CHARLES) CORP,0.286671
63,ANET,ARISTA NETWORKS INC,0.281647
64,TJX,TJX COMPANIES INC,0.280905
65,BSX,BOSTON SCIENTIFIC CORP,0.275802
66,ACN,ACCENTURE PLC CL A,0.272855
67,LOW,LOWE S COS INC,0.272351
68,AMGN,AMGEN INC,0.271628
69,ADBE,ADOBE INC,0.266946
70,LRCX,LAM RESEARCH CORP,0.263884
71,NEE,NEXTERA ENERGY INC,0.262327
72,GILD,GILEAD SCIENCES INC,0.261691
73,PGR,PROGRESSIVE CORP,0.260587
74,APH,AMPHENOL CORP CL A,0.25815
75,COF,CAPITAL ONE FINANCIAL CORP,0.256366
76,PFE,PFIZER INC,0.252511
77,ETN,EATON CORP PLC,0.251725
78,HON,HONEYWELL INTERNATIONAL INC,0.247236
79,AMAT,APPLIED MATERIALS INC,0.246994
80,BX,BLACKSTONE INC,0.239511
81,SYK,STRYKER CORP,0.2389
82,PANW,PALO ALTO NETWORKS INC,0.234583
83,UNP,UNION PACIFIC CORP,0.230604
84,KLAC,KLA CORP,0.226706
85,CMCSA,COMCAST CORP CLASS A,0.222216
86,DHR,DANAHER CORP,0.222176
87,ADI,ANALOG DEVICES INC,0.219939
88,MDT,MEDTRONIC PLC,0.215924
89,ADP,AUTOMATIC DATA PROCESSING,0.214999
90,DE,DEERE + CO,0.214665
91,COP,CONOCOPHILLIPS,0.212266
92,TMUS,T MOBILE US INC,0.205622
93,MO,ALTRIA GROUP INC,0.199467
94,CRWD,CROWDSTRIKE HOLDINGS INC   A,0.192834
95,INTC,INTEL CORP,0.191563
96,PLD,PROLOGIS INC,0.190126
97,CB,CHUBB LTD,0.187486
98,WELL,WELLTOWER INC,0.186765
99,VRTX,VERTEX PHARMACEUTICALS INC,0.182278
100,SO,SOUTHERN CO/THE,0.180851
101,ICE,INTERCONTINENTAL EXCHANGE IN,0.180337
102,MMC,MARSH + MCLENNAN COS,0.179064
103,CEG,CONSTELLATION ENERGY,0.177851
104,PH,PARKER HANNIFIN CORP,0.175479
105,LMT,LOCKHEED MARTIN CORP,0.1754
106,KKR,KKR + CO INC,0.175147
107,CDNS,CADENCE DESIGN SYS INC,0.172948
